title,top_topics,intent,funnel_stage
Reforma Tributária: Principais Impactos para a sua Operação e Como se Preparar,"['fiscal', 'fiscais', 'empresa', 'iva', 'pode', 'fazer', 'tributária', 'regime', 'fornecedores', 'quê']",Transacional,Fundo do Funil (BoFu)
Como otimizar a gestão financeira em pequenas empresas?,"['gestão', 'negócio', 'financeiro', 'finanças', 'planejamento', 'empresa', 'além', 'processos', 'financeira', 'contas']",Informativa,Meio do Funil (MoFu)
4 formas de automatizar os processos financeiros da empresa,"['processos', 'negócio', 'controle', 'automatizar', 'quer', 'financeiros', 'todos', 'financeiras', 'software', 'gestão']",Informativa,Meio do Funil (MoFu)
4 erros de gestão financeira que podem acabar com sua empresa,"['despesas', 'caixa', 'empresário', 'empresa', 'informações', 'fluxo', 'porque', 'fixas', 'controlar', 'negócio']",Comercial,Meio do Funil (MoFu)
Como aumentar as vendas na sua empresa: 6 segredos imperdíveis!,"['empresa', 'vendas', 'negócio', 'público', 'aumentar', 'equipe', 'produto', 'sempre', 'compra', 'comprar']",Transacional,Fundo do Funil (BoFu)
5 motivos para você economizar na sua empresa,"['economizar', 'dinheiro', 'poupar', 'ainda', 'ter', 'financeira', 'finanças', 'imprevistos', 'tão', 'motivos']",Indeterminado,Meio do Funil (MoFu)
5 Motivos para cuidar da administração financeira da empresa,"['negócio', 'empresa', 'administração', 'financeira', 'pode', 'parte', 'desde', 'quanto', 'sobre', 'fazer']",Comercial,Meio do Funil (MoFu)
5 erros que podem estar roubando dinheiro da sua empresa!,"['empresa', 'ter', 'erros', 'contas', 'controle', 'capital', 'giro', 'fatura', 'cartão', 'caixa']",Informativa,Meio do Funil (MoFu)
6 características essenciais em um sistema de gestão financeira de qualidade,"['sistema', 'dados', 'empresa', 'negócio', 'ter', 'gestão', 'financeira', 'qualidade', 'finanças', 'programa']",Informativa,Meio do Funil (MoFu)
25 de abril: Dia da Contabilidade,"['contadores', 'dia', 'contabilidade', 'tecnologia', 'clientes', 'profissionais', 'todo', 'desafios', 'mesmos', 'pois']",Indeterminado,Meio do Funil (MoFu)
10 Dicas para superar os desafios de ter o próprio negócio,"['negócio', 'dicas', 'pode', 'desafios', 'procure', 'produto', 'faça', 'extremamente', 'importante', 'sucesso']",Transacional,Fundo do Funil (BoFu)
7 dicas de finanças para pequenas empresas,"['finanças', 'negócio', 'financeira', 'empresa', 'estude', 'saldo', 'pequenas', 'empresas', 'mercado', 'podem']",Informativa,Meio do Funil (MoFu)
5 aplicativos para te ajudar na gestão empresarial,"['gestão', 'android', 'pode', 'ios', 'empresa', 'empresarial', 'podem', 'aplicativos', 'negócio', 'aplicativo']",Transacional,Fundo do Funil (BoFu)
Redução de custos operacionais: dicas para uma boa gestão,"['custos', 'operacionais', 'redução', 'empresa', 'fiscal', 'automação', 'recursos', 'processos', 'gastos', 'gestão']",Informativa,Meio do Funil (MoFu)
Aprenda como consultar o Regime Tributário empresarial,"['regime', 'empresa', 'tributário', 'sobre', 'lucro', 'empresas', 'consultar', 'nacional', 'sistema', 'serviços']",Comercial,Fundo do Funil (BoFu)
Tecnologia para contadores: as 3 mais importantes que você precisa conhecer!,"['contador', 'dados', 'pode', 'contadores', 'tecnologia', 'tempo', 'dia', 'gestão', 'cliente', 'contabilidade']",Comercial,Fundo do Funil (BoFu)
Caixa 2: por que prestar serviço sem nota fiscal é um risco?,"['nota', 'fiscal', 'emitir', 'caixa', 'serviço', 'pode', 'impostos', 'deve', '2', 'dinheiro']",Transacional,Fundo do Funil (BoFu)
NBC: Conheça as Normas Brasileiras de Contabilidade e suas mudanças,"['nbc', 'normas', 'contábeis', 'contabilidade', 'regras', 'profissionais', 'nbcs', 'brasileiras', 'técnicas', 'regulamentam']",Comercial,Indeterminado
Tudo o que você deve saber para potencializar a receita previsível,"['receita', 'previsível', 'negócio', 'vendas', 'empresa', 'conceito', 'pode', 'mercado', 'sucesso', 'resultados']",Transacional,Fundo do Funil (BoFu)
Aprenda a aumentar a margem de lucro do seu negócio,"['margem', 'lucro', 'produtos', 'negócio', 'aumentar', 'maior', 'algo', 'empresa', 'possível', 'assim']",Transacional,Fundo do Funil (BoFu)
Aprenda a fazer o cálculo da rescisão trabalhista,"['rescisão', 'cálculo', 'férias', 'valor', 'funcionário', 'caso', 'salário', 'deve', 'empresa', 'demissão']",Comercial,Fundo do Funil (BoFu)
6 dicas simples para aumentar o faturamento da sua empresa,"['negócio', 'custos', 'aumentar', 'novas', 'preciso', 'gastos', 'produto', 'quais', 'identificar', 'ter']",Transacional,Fundo do Funil (BoFu)
5 motivos para ter controle financeiro da sua empresa,"['financeiro', 'controle', 'empresa', 'negócio', 'financeira', 'pode', 'gestão', 'parte', 'planejamento', 'quanto']",Comercial,Meio do Funil (MoFu)
Franquias baratas para pequenos empreendedores,"['mercado', 'ter', 'marca', 'microfranquia', 'sobre', 'financeira', 'investimento', 'franquia', 'mil', 'negócio']",Transacional,Fundo do Funil (BoFu)
Saiba como melhorar a gestão da folha de pagamento,"['folha', 'pagamento', 'controle', 'empresa', 'empresas', 'funcionários', 'horas', 'pode', 'cada', 'gestão']",Informativa,Meio do Funil (MoFu)
O que fazer para garantir um bom capital de giro para a empresa?,"['capital', 'giro', 'empresa', 'negócio', 'necessário', 'outro', 'gestão', 'bom', 'processo', 'possível']",Informativa,Meio do Funil (MoFu)
Relatórios gerenciais: como ganhar mais tempo,"['relatórios', 'gerenciais', 'tempo', 'produção', 'análise', 'informações', 'dados', 'ferramentas', 'empresa', 'estudo']",Informativa,Topo do Funil (ToFu)
Entenda Como Funciona o Score de Crédito do Consumidor,"['crédito', 'score', 'nota', 'cliente', 'informações', 'hora', 'consumidor', 'bom', 'importante', 'histórico']",Comercial,Fundo do Funil (BoFu)
Como fechar mais contratos no seu escritório contábil,"['pode', 'vendas', 'contábil', 'clientes', 'marketing', 'tempo', 'comercial', 'gestão', 'conteúdos', 'serviços']",Transacional,Fundo do Funil (BoFu)
Saiba como fazer uma projeção de vendas eficiente,"['vendas', 'projeção', 'empresa', 'mercado', 'análise', 'planejamento', 'orçamento', 'pode', 'pois', 'eficiente']",Transacional,Fundo do Funil (BoFu)
Planejamento e controle financeiro: como fazer em tempos de crise?,"['empresa', 'planejamento', 'controle', 'financeiro', 'pode', 'fazer', 'algumas', 'mudanças', 'veja', 'podem']",Informativa,Meio do Funil (MoFu)
4 dicas para lidar com a inadimplência de seus clientes,"['clientes', 'cobrança', 'outras', 'inadimplência', 'empresas', 'serviços', 'serviço', 'caso', 'ainda', 'além']",Comercial,Fundo do Funil (BoFu)
Como calcular o 13° salário em dois passos,"['salário', 'r', '12', 'calcular', 'pagamento', 'empresa', 'valor', 'deve', 'ano', 'funcionários']",Indeterminado,Meio do Funil (MoFu)
6 dicas para automatização de processos na empresa,"['processos', 'automatização', 'empresa', 'melhorias', 'processo', 'funcionários', 'tempo', 'cada', 'dia', 'maior']",Transacional,Fundo do Funil (BoFu)
Negócio pequeno x Cliente grande: o que fazer?,"['clientes', 'cliente', 'forma', 'grandes', 'empresa', 'dia', 'grande', 'irá', 'saber', 'faça']",Transacional,Meio do Funil (MoFu)
Capital de giro: o que é e como calcular,"['capital', 'giro', 'empresa', 'chocolates', 'empresário', 'mil', 'negócio', 'chocolate', 'reais', 'precisa']",Transacional,Fundo do Funil (BoFu)
"Tudo sobre calendário tributário, obrigações e prazos para ajudar contadores","['agenda', 'tributária', 'calendário', 'tributário', 'obrigações', 'cada', 'dados', 'escritório', 'contabilidade', 'clientes']",Comercial,Fundo do Funil (BoFu)
Controle de vendas: como melhorar sua gestão e rentabilidade?,"['vendas', 'controle', 'empresa', 'sistema', 'produtos', 'todos', 'estoque', 'clientes', 'processo', 'etapas']",Transacional,Fundo do Funil (BoFu)
Benefícios de um gerenciador financeiro comparado a planilhas,"['dados', 'financeiro', 'planilhas', 'empresa', 'sistema', 'informações', 'pode', 'planilha', 'gerenciador', 'software']",Comercial,Meio do Funil (MoFu)
Balanço patrimonial: por que fazer?,"['balanço', 'patrimonial', 'empresa', 'informações', 'financeira', 'investidores', 'ainda', 'caixa', 'situação', 'econômica']",Informativa,Meio do Funil (MoFu)
WhatsApp Pagamentos: tudo o que você deve saber ele,"['whatsapp', 'pagamentos', 'pode', 'pagamento', 'negócio', 'aplicativo', 'plataforma', 'preciso', 'informações', 'enviar']",Informativa,Meio do Funil (MoFu)
Conheça melhor os principais tributos do início do ano,"['pagamento', 'valor', 'iptu', 'alguns', 'ipva', 'imposto', 'ano', 'caso', 'licenciamento', 'início']",Indeterminado,Meio do Funil (MoFu)
Contabilidade digital: quais as vantagens e como aplicar nos negócios?,"['contabilidade', 'digital', 'dados', 'quais', 'processos', 'informações', 'clientes', 'segurança', 'contábeis', 'trabalho']",Informativa,Meio do Funil (MoFu)
Data de Competência ou Emissão: dicas para diferenciar,"['data', 'emissão', 'fiscais', 'competência', 'fiscal', 'notas', 'nota', 'dados', 'serviços', 'eletrônica']",Transacional,Fundo do Funil (BoFu)
Contas a pagar e receber: 5 erros comuns no controle de contas e como evitá-los,"['controle', 'erro', 'acerto', 'contas', 'pagar', 'fazer', 'negócio', 'receber', 'caixa', 'forma']",Transacional,Fundo do Funil (BoFu)
5 dicas para melhorar a comunicação interna na sua empresa,"['comunicação', 'empresa', 'interna', 'informações', 'pode', 'duas', 'vias', 'trabalho', 'todo', 'mundo']",Informativa,Meio do Funil (MoFu)
Conheça 4 principais relatórios contábeis e saiba como estruturá-los,"['relatórios', 'contábeis', 'dados', 'clientes', 'mercado', 'demonstração', 'principais', 'negócio', 'informações', 'maneira']",Informativa,Meio do Funil (MoFu)
Como inutilizar NFC-e: aprenda como fazer na prática!,"['inutilizar', 'notas', 'passo', 'inutilização', 'nota', 'fiscal', 'emissão', 'fiscais', 'empresa', 'documento']",Informativa,Meio do Funil (MoFu)
Empreender com sucesso: 8 competências essenciais para ser um vencedor,"['sucesso', 'ter', 'janeiro', 'pessoas', 'empreender', 'empreendedor', 'pode', 'resultados', 'jovens', 'negócio']",Indeterminado,Meio do Funil (MoFu)
Fluxo de caixa: dicas para controlar as contas a pagar e receber,"['contas', 'caixa', 'fluxo', 'empresa', 'todas', 'controle', 'controlar', 'despesas', 'parcelas', 'prazos']",Informativa,Meio do Funil (MoFu)
"Entenda a diferença entre MEI, ME, profissional liberal e autônomos","['profissional', 'autônomo', 'micro', 'renda', 'impostos', 'r', 'além', 'empreendedor', 'atividades', 'disso']",Comercial,Fundo do Funil (BoFu)
"Aprenda o que é ECD, qual a sua importância e como calcular","['ecd', 'escrituração', 'digital', 'contábil', 'informações', 'empresa', 'entrega', 'envio', 'fazer', 'ter']",Comercial,Fundo do Funil (BoFu)
Emissão de CNPJ: passo a passo para fazer corretamente,"['cnpj', 'empresa', 'receita', 'federal', 'empresas', 'emissão', 'abertura', 'processo', 'documento', 'inscrição']",Informativa,Meio do Funil (MoFu)
Descubra tudo sobre como vender mais no Instagram em 6 passos,"['instagram', 'perfil', 'conta', 'rede', 'social', 'vender', 'seguidores', 'posts', 'dia', 'usar']",Transacional,Fundo do Funil (BoFu)
Crowdfunding: o que é e como funciona o financiamento coletivo,"['crowdfunding', 'financiamento', 'projeto', 'coletivo', 'ideia', 'maneira', 'negócio', 'projetos', 'campanha', 'plataformas']",Transacional,Fundo do Funil (BoFu)
7 dicas para vender na internet de maneira eficiente,"['internet', 'vendas', 'empresa', 'negócio', 'clientes', 'deve', 'vender', 'algo', 'qualidade', 'cliente']",Transacional,Fundo do Funil (BoFu)
3 passos para ser mais produtivo,"['tarefas', 'atividades', 'produtividade', 'dia', 'tempo', 'produtivo', 'reuniões', 'foco', 'importante', 'além']",Informativa,Topo do Funil (ToFu)
Dia do Cliente: o que é e 5 ideias para aproveitar a data,"['cliente', 'dia', 'fazer', 'então', 'clientes', 'data', 'boa', 'consumidores', 'oferecer', 'vendas']",Transacional,Fundo do Funil (BoFu)
Dicas para saber se você tem o perfil empreendedor,"['empreendedor', 'ter', 'negócio', 'perfil', 'empreendedorismo', 'vontade', 'vida', 'precisa', 'sobre', 'disposto']",Indeterminado,Topo do Funil (ToFu)
Como migrar das planilhas para o software financeiro,"['dados', 'software', 'financeiro', 'excel', 'informações', 'transição', 'planilhas', 'fazer', 'planilha', 'qualquer']",Informativa,Meio do Funil (MoFu)
Veja como o fluxo de caixa ajuda na tomada de decisão,"['caixa', 'fluxo', 'financeiro', 'controle', 'gestão', 'pode', 'empresa', 'financeira', 'simples', 'ainda']",Indeterminado,Meio do Funil (MoFu)
Dirf: o que é e como fazer a declaração,"['declaração', 'imposto', 'renda', 'receita', 'federal', 'sobre', 'dirf', 'fazer', 'pagamento', 'funcionários']",Informativa,Indeterminado
5 dicas para fazer controle de vendas,"['controle', 'vendas', 'empresa', 'identificar', 'estoque', 'permite', 'clientes', 'manter', 'capital', 'caixa']",Comercial,Fundo do Funil (BoFu)
Descubra como o regime de competência vai ajudar seu negócio,"['regime', 'competência', 'empresa', 'caixa', 'registro', 'gestão', 'assim', 'sobre', 'contábil', 'dois']",Comercial,Fundo do Funil (BoFu)
Como montar uma proposta de serviços contábeis para conquistar clientes?,"['proposta', 'serviços', 'contábeis', 'cliente', 'empresa', 'soluções', 'empresário', 'ter', 'apresentação', 'valor']",Comercial,Fundo do Funil (BoFu)
PRONAMPE: tudo sobre o programa que financia pequenos negócios,"['empresas', 'empréstimo', 'pronampe', 'r', 'programa', 'faturamento', 'pedir', 'mil', 'valor', 'micro']",Indeterminado,Indeterminado
Veja 5 dicas para controlar melhor seu fluxo de caixa,"['caixa', 'fluxo', 'negócio', 'condições', 'vendas', 'prazo', 'pode', 'fornecedores', 'quanto', 'clientes']",Indeterminado,Indeterminado
Recibo provisório de serviços: entenda o que é e como usar,"['nota', 'fiscal', 'rps', 'serviços', 'recibo', 'provisório', 'eletrônica', 'cidade', 'serviço', 'emitir']",Comercial,Fundo do Funil (BoFu)
Veja 7 dicas para economizar dinheiro no dia a dia,"['dia', 'dinheiro', 'família', 'pode', 'ter', 'todos', 'vai', 'quanto', 'gasta', 'mês']",Informativa,Meio do Funil (MoFu)
Nota fiscal de brinde: saiba como emitir + tributos incidentes,"['nota', 'brinde', 'brindes', 'fiscal', 'cfop', 'mercadorias', 'distribuição', 'icms', 'emitir', 'caso']",Informativa,Meio do Funil (MoFu)
Controle de estoque: 4 erros que você deve evitar a todo custo,"['estoque', 'produtos', 'inventário', 'ter', 'controle', 'produto', 'erros', 'manter', 'além', 'fazer']",Transacional,Fundo do Funil (BoFu)
DUIMP: saiba o que muda com o novo processo de importação!,"['importação', 'duimp', 'exterior', 'declaração', 'comércio', 'operações', 'processo', 'siscomex', 'única', 'portal']",Transacional,Fundo do Funil (BoFu)
4 vantagens de fazer o controle de vendas da sua empresa,"['controle', 'vendas', 'vantagem', 'fazer', 'pode', 'mês', 'clientes', 'online', 'empresa', 'manter']",Transacional,Fundo do Funil (BoFu)
Franquia de contabilidade ou escritório contábil?,"['franquia', 'franquias', 'contabilidade', 'pode', 'outras', 'obrigações', 'investimento', 'ter', 'empresa', 'contábil']",Comercial,Fundo do Funil (BoFu)
A solução para reduzir inadimplência e perda de clientes: automação contábil,"['cliente', 'contábil', 'tempo', 'empresa', 'empresários', 'serviços', 'contadores', 'tecnologia', 'vão', 'clientes']",Comercial,Fundo do Funil (BoFu)
Folha de pagamento: o que é e como fazer o cálculo,"['salário', 'folha', 'pagamento', 'descontos', 'empresa', 'bruto', 'trabalhador', 'funcionário', 'deve', 'cálculo']",Informativa,Meio do Funil (MoFu)
Gerenciador Financeiro Online: 6 motivos para usar um,"['financeiro', 'gerenciador', 'online', 'negócio', 'pode', 'tempo', 'controle', 'dados', 'sobre', 'despesas']",Informativa,Meio do Funil (MoFu)
Como se organizar para não perder as datas de pagamento dos impostos,"['impostos', 'pagamento', 'financeiro', 'ter', 'empresas', 'gestão', 'fiscal', 'dia', 'arcar', 'planejamento']",Comercial,Fundo do Funil (BoFu)
Descubra a importância da Inscrição Municipal para o seu negócio,"['inscrição', 'municipal', 'empresa', 'sobre', 'estadual', 'ter', 'cadastro', 'prefeitura', 'município', 'funcionamento']",Transacional,Fundo do Funil (BoFu)
Quais são os impostos para MEIs e profissionais liberais?,"['sobre', 'imposto', 'mei', 'valor', 'impostos', 'microempreendedor', 'individual', 'profissionais', 'pagamento', 'serviços']",Informativa,Meio do Funil (MoFu)
Fundo de reserva: veja 3 bons motivos para criar um,"['fundo', 'reserva', 'empresa', 'pode', 'momentos', 'dificuldades', 'manter', 'lucro', 'financeira', 'criar']",Indeterminado,Meio do Funil (MoFu)
O que é contabilidade de custos?,"['custos', 'empresa', 'método', 'produto', 'contabilidade', 'custo', 'vendas', 'fim', 'cada', 'caso']",Transacional,Fundo do Funil (BoFu)
O que é o Cálculo do Diferencial de Alíquota e como funciona?,"['alíquota', 'icms', 'cálculo', 'interestadual', 'valor', 'diferença', 'diferencial', 'sobre', 'conteúdo', 'calcular']",Transacional,Fundo do Funil (BoFu)
"O que é o DIMOB, quem deve entregar e qual o prazo de entrega","['declaração', 'informações', 'dimob', 'sobre', 'imóveis', 'imobiliárias', 'atividades', 'ano', 'devem', 'locação']",Informativa,Meio do Funil (MoFu)
Pagamento digital: conheça as diferentes formas e como aceitar,"['pagamento', 'digital', 'opções', 'online', 'meio', 'tudo', 'sendo', 'feito', 'quais', 'sobre']",Transacional,Fundo do Funil (BoFu)
Entenda o que é patrimônio líquido e aprenda como calcular,"['líquido', 'patrimônio', 'empresa', 'negócio', 'lucros', 'capital', 'pode', 'passivo', 'valor', 'balanço']",Comercial,Fundo do Funil (BoFu)
PIS: o que é e como calcular,"['pis', 'cofins', 'créditos', 'r', 'empresas', 'impostos', 'alíquotas', 'valores', 'cumulativo', 'tributos']",Informativa,Topo do Funil (ToFu)
Planejamento de crédito emergencial: como fazer para seus clientes?,"['crédito', 'clientes', 'empresas', 'planejamento', 'emergencial', 'financeira', 'empréstimo', 'processo', 'serviço', 'programas']",Transacional,Fundo do Funil (BoFu)
Planejamento estratégico para microempresas: por que você deve fazer?,"['planejamento', 'estratégico', 'microempresa', 'negócios', 'objetivos', 'todos', 'resultados', 'empreendedores', 'conhecer', 'sucesso']",Indeterminado,Meio do Funil (MoFu)
Planejamento Financeiro: veja como montar um,"['planejamento', 'empresa', 'financeiro', 'caixa', 'importante', 'quais', 'situação', 'negócio', 'financeira', 'necessário']",Transacional,Fundo do Funil (BoFu)
Proposta comercial: veja como fazer uma e feche novos negócios,"['cliente', 'proposta', 'empresa', 'boa', 'importante', 'comercial', 'pagamento', 'serviços', 'empreendedor', 'sobre']",Transacional,Fundo do Funil (BoFu)
Quais os principais direitos e deveres de um MEI?,"['mei', 'sobre', 'microempreendedor', 'vai', 'obrigações', 'formalização', 'pode', 'negócio', 'muitas', 'empreendedor']",Indeterminado,Meio do Funil (MoFu)
Análise de dados: entenda a sua importância,"['ter', 'possível', 'informações', 'empresa', 'erros', 'precisão', 'atuação', 'análise', 'dados', 'cada']",Informativa,Meio do Funil (MoFu)
